card_name,card_id,image_id,image_index,image_url,filename,status
Card of Sacrifice,88513608,88513608,1,https://images.ygoprodeck.com/images/cards/88513608.jpg,88513608-card-of-sacrifice.jpg,downloaded
Card of Safe Return,57953380,57953380,1,https://images.ygoprodeck.com/images/cards/57953380.jpg,57953380-card-of-safe-return.jpg,downloaded
Card of the Soul,7044562,7044562,1,https://images.ygoprodeck.com/images/cards/7044562.jpg,7044562-card-of-the-soul.jpg,downloaded
Card of Sanctity,42664989,42664989,1,https://images.ygoprodeck.com/images/cards/42664989.jpg,42664989-card-of-sanctity.jpg,downloaded
Card Rotator,72767833,72767833,1,https://images.ygoprodeck.com/images/cards/72767833.jpg,72767833-card-rotator.jpg,downloaded
Card Scanner,77066768,77066768,1,https://images.ygoprodeck.com/images/cards/77066768.jpg,77066768-card-scanner.jpg,downloaded
Card Trooper,85087012,85087012,1,https://images.ygoprodeck.com/images/cards/85087012.jpg,85087012-card-trooper.jpg,downloaded
Cardcar D,45812361,45812361,1,https://images.ygoprodeck.com/images/cards/45812361.jpg,45812361-cardcar-d.jpg,downloaded
Card Trader,48712195,48712195,1,https://images.ygoprodeck.com/images/cards/48712195.jpg,48712195-card-trader.jpg,downloaded
Card Shuffle,12183332,12183332,1,https://images.ygoprodeck.com/images/cards/12183332.jpg,12183332-card-shuffle.jpg,downloaded
Cards for Black Feathers,4168871,4168871,1,https://images.ygoprodeck.com/images/cards/4168871.jpg,4168871-cards-for-black-feathers.jpg,downloaded
Cards from the Sky,54977057,54977057,1,https://images.ygoprodeck.com/images/cards/54977057.jpg,54977057-cards-from-the-sky.jpg,downloaded
Cards of Consonance,39701395,39701395,1,https://images.ygoprodeck.com/images/cards/39701395.jpg,39701395-cards-of-consonance.jpg,downloaded
Cards of the Red Stone,32566831,32566831,1,https://images.ygoprodeck.com/images/cards/32566831.jpg,32566831-cards-of-the-red-stone.jpg,downloaded
Carnot the Eternal Machine,13567610,13567610,1,https://images.ygoprodeck.com/images/cards/13567610.jpg,13567610-carnot-the-eternal-machine.jpg,downloaded
"Carpiponica, Mystical Beast of the Forest",85055821,85055821,1,https://images.ygoprodeck.com/images/cards/85055821.jpg,85055821-carpiponica-mystical-beast-of-the-forest.jpg,downloaded
Carrierroid,46848859,46848859,1,https://images.ygoprodeck.com/images/cards/46848859.jpg,46848859-carrierroid.jpg,downloaded
Cash Back,59957503,59957503,1,https://images.ygoprodeck.com/images/cards/59957503.jpg,59957503-cash-back.jpg,downloaded
Cartorhyn the Hidden Gem of the Seafront,94076521,94076521,1,https://images.ygoprodeck.com/images/cards/94076521.jpg,94076521-cartorhyn-the-hidden-gem-of-the-seafront.jpg,downloaded
Cassimolar,12527118,12527118,1,https://images.ygoprodeck.com/images/cards/12527118.jpg,12527118-cassimolar.jpg,downloaded
"Castel, the Skyblaster Musketeer",82633039,82633039,1,https://images.ygoprodeck.com/images/cards/82633039.jpg,82633039-castel-the-skyblaster-musketeer.jpg,downloaded
Castle Gate,36931229,36931229,1,https://images.ygoprodeck.com/images/cards/36931229.jpg,36931229-castle-gate.jpg,downloaded
Castle of Dark Illusions,62121,62121,1,https://images.ygoprodeck.com/images/cards/62121.jpg,62121-castle-of-dark-illusions.jpg,downloaded
Castle Link,22198672,22198672,1,https://images.ygoprodeck.com/images/cards/22198672.jpg,22198672-castle-link.jpg,downloaded
Castle Walls,44209392,44209392,1,https://images.ygoprodeck.com/images/cards/44209392.jpg,44209392-castle-walls.jpg,downloaded
Castle of Dragon Souls,13513663,13513663,1,https://images.ygoprodeck.com/images/cards/13513663.jpg,13513663-castle-of-dragon-souls.jpg,downloaded
Cat Shark,84224627,84224627,1,https://images.ygoprodeck.com/images/cards/84224627.jpg,84224627-cat-shark.jpg,downloaded
Cat's Ear Tribe,95841282,95841282,1,https://images.ygoprodeck.com/images/cards/95841282.jpg,95841282-cat-s-ear-tribe.jpg,downloaded
Cataclysmic Circumpolar Chilblainia,62850093,62850093,1,https://images.ygoprodeck.com/images/cards/62850093.jpg,62850093-cataclysmic-circumpolar-chilblainia.jpg,downloaded
Cataclysmic Crusted Calcifida,9028399,9028399,1,https://images.ygoprodeck.com/images/cards/9028399.jpg,9028399-cataclysmic-crusted-calcifida.jpg,downloaded
